201258,W-8438-UQ,FM-36,867060034753307,081132020937,Halo
201261,L-9761-UD,FM-36,867060035297270,081132021226,Halo
201264,W-9039-U,FM-36,867060034790523,081132021227,Halo
201265,B-9137-CEU,FM-36,867060034754065,081132006585,Halo
201266,B-9139-CEU,FM-36,867060031284009,081132020502,Halo
201267,B-9795-CXS,FM-36,864403043506659,081132021220,Halo
201268,W-8358-UQ,FM-36,864403043509513,081132021191,Halo
201269,W-9211-UP,FM-36,867060031253913,081132021224,Halo
201271,B-9446-CXR,FM-36,867060031274422,081132242073,Halo
201272,W-9983-US,FM-36,867060031258441,081132261482,Halo
202199,B-9773-CXR,FM-36,864403041477341,081132020917,Halo
202423,B-9258-CXS,FM-36,867060035329685,081132275029,Halo
202424,B-9274-CXS,FM-36,867060034760872,081132020916,Halo
202429,B-9340-CXS,FM-36,867060035323902,081132023094,Halo
202430,B-9296-CXS,FM-36,867060035317607,081132021204,Halo
202434,B-9275-CXS,FM-36,867060034746814,081132021235,Halo
202436,B-9342-CXS,FM-36,867060035318050,081132021187,Halo
202441,B-9306-CXS,FM-36,864403043132571,081132021189,Halo
202447,B-9294-CXS,FM-36,867060034780656,081132264120,Halo
202453,B-9364-CXS,FM-36,867060035329099,081132023721,Halo
202456,B-9271-CXS,FM-36,867060034752317,081132023731,Halo
202458,B-9336-CXS,FM-36,867060034790028,081132020921,Halo
202460,B-9270-CXS,FM-36,867060034752739,081132021193,Halo
202462,B-9373-CXS,FM-36,867060035287982,081132021242,Halo
202466,B-9387-CXS,FM-36,867060034763389,081132023734,Halo
202467,B-9458-CXS,FM-36,867060035315163,081132023737,Halo
202474,B-9393-CXS,FM-36,864403043528505,081132020528,Halo
202475,B-9447-CXS,FM-36,864403041494486,081132020926,Halo
202478,B-9442-CXS,FM-36,864403041454845,08113694982,Halo
202482,B-9427-CXS,FM-36,867060031246925,081132264108,Halo
202483,B-9434-CXS,FM-36,864403042095654,08113694984,Halo
202490,B-9448-CXR,FM-36,864403041477853,081132020515,Halo
202495,B-9452-CXS,FM-36,867060035281779,081132021241,Halo
202507,B-9608-CXS,FM-36,864403041500894,081132242053,Halo
202509,B-9553-CXS,FM-36,867060031284603,081132264125,Halo
202511,B-9554-CXS,FM-36,864403041492597,081132261480,Halo
202515,B-9607-CXS,FM-36,864403043539262,081132006599,Halo
202522,B-9589-CXS,FM-36,864403041464539,081132242052,Halo
202532,B-9594-CXS,FM-36,864403042870791,081132021215,Halo
202541,B-9600-CXS,FM-36,867060031241660,081132275026,Halo
202542,B-9591-CXS,FM-36,864403041518227,081132021206,Halo
202545,B-9545-CXS,FM-36,864403041493033,081132021209,Halo
202551,B-9648-CXS,FM-36,864403042120627,081132242051,Halo
202561,B-9712-CXS,FM-36,864403042100884,081132275061,Halo
202563,B-9721-CXS,FM-36,864403044132422,081132006586,Halo
202568,B-9731-CXS,FM-36,867060031281385,081132020493,Halo
202578,B-9460-CXS,FM-36,867060031291160,081132006588,Halo
202579,B-9756-CXS,FM-36,867060031283555,081132023096,Halo
202593,B-9201-CXR,FM-36,864403041460602,081132264111,Halo
202596,B-9698-CXR,FM-36,867060031222736,081132020520,Halo
202597,B-9592-CXR,FM-36,867060031216480,081132020516,Halo
202598,B-9644-CXR,FM-36,867060031281658,081132020523,Halo
202611,B-9929-CXS,FM-36,867060031256312,081132020509,Halo
202612,B-9944-CXS,FM-36,864403043148866,081132020510,Halo
202613,B-9946-CXS,FM-36,867060031231729,081132020527,Halo
202614,B-9942-CXS,FM-36,867060031278472,081132021190,Halo
