202376,B-9015-CXS,FMA,352094086940969,081514007500
202264,B-9844-CXR,FMA,352094088303786,081514389007
202354,B-9057-CXS,FMA,352094089460957,081514019228
202278,B-9760-CXR,FMA,352094088533762,081514389016
202194,B-9297-CXR,FMA,352093082792655,081132023748
202325,B-9892-CXR,FMA,352094088319238,081514389066
202091,B-9473-CXR,FMA,352094086816979,081514008896
202612,B-9944-CXS,FM-36,864403043148866,081132020510
202587,B-9743-CXS,FM-36,867060031264506,08551892016
202160,B-9739-CXR,FM-1202,357454075006252,081519764670
202487,B-9423-CXS,FM-36,864403041443707,08551838326
202379,B-9063-CXS,FMA,352094080425272,081132021196
202042,B-9397-CXR,FM-1202,356173066157491,081575096674
202492,B-9450-CXS,FM-36,867060034779534,08551838368
202321,B-9882-CXR,FMA,352094089403197,081514389064
202067,B-9233-CXR,FM-1202,356173063481605,081132020518
202099,B-9484-CXR,FM-1202,356173063724418,08157614653
202018,B-9242-CXR,FMA,352093082627729,08158131089
202016,B-9236-CXR,FM-1202,356173065870565,081132021233
202022,B-9328-CXR,FM-1202+J,356173065872165,081132020909
202147,B-9721-CXR,FM-1202,352093082793356,081519764724
202536,B-9613-CXS,FM-36,864403042879800,08551838412
202546,B-9606-CXS,FM-36,864403043440289,08551838436
202493,B-9437-CXS,FM-36,867060034779799,08551838336
202101,B-9508-CXR,FM-53,356173066691606,081132275040
202554,B-9722-CXS,FM-36,864403044147461,08551838457
202442,B-9829-CXR,FM-36,864403042122128,08551838406
202463,B-9368-CXS,FM-36,867060035314653,081514011413
202403,B-9042-CXS,FMA,352093082623298,081514007558
202401,B-9041-CXS,FMA,352093082631028,081514007327
202198,B-9779-CXR,FM-1202,357454075205730,081519764536
202581,B-9588-CXR,FM-36,864403041506396,08551838314
202231,B-9873-CXR,FM-1202,357454076234572,081132261481
202250,B-9874-CXR,FM-1202,357454076229630,081132023097
202431,B-9285-CXS,FM-36,867060034763645,081514007367
202220,B-9803-CXR,FM-1202,357454076233822,081132021244
202482,B-9427-CXS,FM-36,867060031246925,081132264108
202478,B-9442-CXS,FM-36,864403041454845,08113694982
202134,B-9638-CXR,FM-1202,357454073001768,081132021199
202267,B-9763-CXR,FMA,352094089039520,081514388979
202437,B-9272-CXS,FM-36,867060034751954,081514016159
202211,B-9830-CXR,FM-1202,357454076230976,081514018128
202154,B-9737-CXR,FM-1202,357454075002533,081132020897
202164,B-9734-CXR,FM-1202,357454075055580,081132020908
202153,B-9736-CXR,FM-1202,356307045614939,081132020899
202012,W-9231-UQ,FM-1202,356173066164182,081132021207
202413,B-9421-CXR,FMA,352093082946269,081514007382
202123,B-9645-CXR,FM-1202,357454073163725,081132020911
202909,B-9104-CX,FMA,352093082519223,081132242038
202284,B-9753-CXR,FMA,352094088327264,081514389030
202159,B-9759-CXR,FM-1202,357454075045250,081519764643
202544,B-9543-CXS,FM-36,864403043505511,08551838434
202259,B-9756-CXR,FM-1202,357454076229085,081514388976
202230,B-9867-CXR,FM-1202,356173062860122,081513701431
202385,B-9035-CXS,FMA,352093080122947,081132242068
202135,B-9674-CXR,FM-1202,357454073247700,081519764816
202216,B-9758-CXR,FM-1202,357454076233657,08155257435
202360,B-9022-CXS,FMA,352094086280465,081514020981
202118,B-9651-CXR,FM-1202,357454073259044,081519764482
202117,B-9650-CXR,FM-1202,357454073261594,081519764521
202176,B-9416-CXR,FM-1202,357454075062370,081519764617
202179,B-9693-CXR,FM-1202,357454074976570,081132006566
202171,B-9414-CXR,FM-1202,357454075061042,081519764677
202119,B-9649-CXR,FM-1202,357454073161752,081519764738
202232,B-9860-CXR,FM-1202,357454076233418,081132023728
202237,B-9372-CXR,FM-1202,356173066155024,08113694981
202158,B-9735-CXR,FM-1202,357454075006401,081519764660
202377,B-9011-CXS,FMA,352094088316184,081514007503
202167,B-9755-CXR,FM-1202,357454075059335,081519764576
202169,B-9634-CXR,FM-1202,357454075062222,081519764578
202162,B-9754-CXR,FM-1202,357454075056315,081519764667
202406,B-9016-CXS,FMA,352093082648485,081514007526
202163,B-9751-CXR,FM-1202,357454075061109,081519764663
202014,W-9224-UQ,FM-1202,356173066175683,08158160192
202607,B-9342-CXR,FM-36,867060031276971,081513701501
202066,B-9211-CXS,FMA,352093082650887,081574081223
202341,B-9914-CXR,FMA,352094089607748,081514389092
202185,B-9749-CXR,FM-1202,357454075205565,081132006552
202472,B-9431-CXS,FM-36,867060035281811,081514015881
202300,B-9411-CXR,FMA,352094089404393,081514388945
202348,B-9662-CXR,FMA,352094089412255,081514020597
202122,B-9648-CXR,FM-1202,357454073164194,081132023740
202293,W-8268-UT,FMA,352094089387119,081132021192
202217,B-9663-CXR,FM-1202,357454075537652,081514007514
202227,B-9809-CXR,FM-1202,357454076229093,081553481852
202195,B-9330-CXR,FM-1202,357454074820356,081132242054
202288,B-9935-CXR,FMA,352094089717505,081514380706
202470,B-9435-CXS,FM-36,864403041474058,08113694979
202034,B-9378-CXR,FM-1202,356173066161899,08158171382
202186,B-9714-CXR,FM-1202,357454075036184,081519764544
202480,B-9449-CXS,FM-36,864403041458895,081514014077
1047,B-9599-CXR,FM-36,864403041450942,081132275046
202081,B-9235-CXR,FM-1202,357454076233368,08157615182
202344,B-9902-CXR,FMA,352094087852213,081514389061
202107,B-9466-CXR,FM-1202,357454075219426,08158320210
202148,B-9605-CXR,FM-36,864403041448730,081132275047
202111,B-9516-CXR,FM-1202,357454073121442,081519764471
202589,B-9746-CXR,FM-36,867060035327754,081132261469
