B -9809 -CXR
B -9830 -CXR
W -8573 -UT
B -9763 -CXR
B -9072 -CEH
B -9638 -CXR
B -9828 -CXR
B -9068 -CEH
W -9579 -US
B -9929 -CXS
B -9946 -CXS
B -9937 -CXS
B -9948 -CXS
B -9950 -CXS
W -9577 -US
W -8575 -UT
B -9622 -CXR
B -9893 -CXR
B -9442 -CXS
B -9071 -CEH
B -9430 -CXS
B -9535 -CXS
B -9031 -CXS
B -9397 -CXR
B -9896 -CXR
B -9718 -CXS
B -9450 -CXS
B -9624 -CXS
B -9862 -CXR
B -9237 -CXR
B -9336 -CXR
B -9719 -CXR
B -9279 -CXS
B -9328 -CXR
B -9453 -CXS
B -9473 -CXR
B -9008 -CXS
B -9324 -CXR
B -9861 -CXR
B -9863 -CXR
B -9042 -CXS
B -9176 -CXR
B -9391 -CXS
B -9368 -CXS
B -9508 -CXR
B -9513 -CXR
W -9581 -US
W -9074 -UQ
